latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.72766,-96.96976,303.55,0.51,0.41,2022-05-08,0748,N,nominal,2.0NRT,290.3,0.35,N
18.76407,-97.17514,298.28,0.53,0.42,2022-05-08,0748,N,nominal,2.0NRT,286.44,0.54,N
18.72847,-96.97161,302.44,0.51,0.41,2022-05-08,0748,N,nominal,2.0NRT,290.68,0.91,N
19.39101,-102.47446,300.63,0.38,0.59,2022-05-08,0748,N,nominal,2.0NRT,286.6,0.28,N
18.50985,-95.54717,317.34,0.44,0.38,2022-05-08,0748,N,nominal,2.0NRT,297.03,0.89,N
19.09873,-100.26406,301.39,0.55,0.51,2022-05-08,0748,N,nominal,2.0NRT,289.76,0.96,N
19.21343,-101.32487,317.67,0.32,0.55,2022-05-08,0748,N,nominal,2.0NRT,290.71,1.35,N
19.06262,-99.99494,306.59,0.52,0.5,2022-05-08,0748,N,nominal,2.0NRT,287.07,1.16,N
19.06199,-99.98959,297.96,0.52,0.5,2022-05-08,0748,N,nominal,2.0NRT,287.07,1.16,N
19.05801,-99.99563,303.59,0.52,0.5,2022-05-08,0748,N,nominal,2.0NRT,285.36,1.16,N
19.08367,-100.25783,305.61,0.55,0.51,2022-05-08,0748,N,nominal,2.0NRT,289.75,1.2,N
19.08307,-100.25265,303.5,0.55,0.51,2022-05-08,0748,N,nominal,2.0NRT,289.91,1.2,N
18.97538,-99.37518,307.13,0.48,0.48,2022-05-08,0748,N,nominal,2.0NRT,283.95,2.38,N
19.26347,-102.04021,329.77,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,290.44,4.05,N
19.26307,-102.03638,339.61,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,291.59,4.05,N
19.26391,-102.04451,300.51,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,289.1,2.05,N
19.2627,-102.03278,312.74,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,289.85,2.86,N
18.22482,-93.89881,305.37,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,294.89,0.4,N
19.25829,-102.0422,300.37,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,289.04,0.92,N
19.25791,-102.03847,310.48,0.36,0.57,2022-05-08,0748,N,nominal,2.0NRT,289.99,0.92,N
18.22092,-93.89568,308.9,0.39,0.36,2022-05-08,0748,N,nominal,2.0NRT,295.43,0.52,N
